dataset,accuracy,precision,recall,f1,auc,group,dim,depth,heads,attn_dropout
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.458333,1,16,2,2,0.1
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.333333,1,16,2,2,0.2
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.562500,1,16,2,4,0.1
analcatdata_aids,0.500000,0.333333,0.250000,0.285714,0.541667,1,16,2,4,0.2
analcatdata_aids,0.400000,0.400000,1.000000,0.571429,0.666667,1,16,4,2,0.1
analcatdata_aids,0.400000,0.400000,1.000000,0.571429,0.333333,1,16,4,2,0.2
analcatdata_aids,0.400000,0.400000,1.000000,0.571429,0.583333,1,16,4,4,0.1
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.833333,1,16,4,4,0.2
analcatdata_aids,0.500000,0.428571,0.750000,0.545455,0.791667,1,32,2,2,0.1
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.625000,1,32,2,2,0.2
analcatdata_aids,0.400000,0.400000,1.000000,0.571429,0.687500,1,32,2,4,0.1
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.750000,1,32,2,4,0.2
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.500000,1,32,4,2,0.1
analcatdata_aids,0.200000,0.000000,0.000000,0.000000,0.041667,1,32,4,2,0.2
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.291667,1,32,4,4,0.1
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.708333,1,32,4,4,0.2
analcatdata_asbestos,0.294118,0.294118,1.000000,0.454545,0.716667,1,16,2,2,0.1
analcatdata_asbestos,0.705882,0.000000,0.000000,0.000000,0.583333,1,16,2,2,0.2
analcatdata_asbestos,0.705882,0.000000,0.000000,0.000000,0.700000,1,16,2,4,0.1
analcatdata_asbestos,0.294118,0.294118,1.000000,0.454545,0.516667,1,16,2,4,0.2
analcatdata_asbestos,0.705882,0.000000,0.000000,0.000000,0.550000,1,16,4,2,0.1
analcatdata_asbestos,0.294118,0.294118,1.000000,0.454545,0.733333,1,16,4,2,0.2
analcatdata_asbestos,0.705882,0.000000,0.000000,0.000000,0.383333,1,16,4,4,0.1
analcatdata_asbestos,0.705882,0.000000,0.000000,0.000000,0.633333,1,16,4,4,0.2
analcatdata_asbestos,0.294118,0.294118,1.000000,0.454545,0.316667,1,32,2,2,0.1
analcatdata_asbestos,0.705882,0.000000,0.000000,0.000000,0.600000,1,32,2,2,0.2
analcatdata_asbestos,0.647059,0.400000,0.400000,0.400000,0.566667,1,32,2,4,0.1
analcatdata_asbestos,0.529412,0.333333,0.600000,0.428571,0.600000,1,32,2,4,0.2
analcatdata_asbestos,0.470588,0.300000,0.600000,0.400000,0.583333,1,32,4,2,0.1
analcatdata_asbestos,0.705882,0.000000,0.000000,0.000000,0.633333,1,32,4,2,0.2
analcatdata_asbestos,0.294118,0.294118,1.000000,0.454545,0.600000,1,32,4,4,0.1
analcatdata_asbestos,0.294118,0.294118,1.000000,0.454545,0.775000,1,32,4,4,0.2
analcatdata_bankruptcy,0.600000,0.000000,0.000000,0.000000,0.458333,1,16,2,2,0.1
analcatdata_bankruptcy,0.400000,0.400000,1.000000,0.571429,0.208333,1,16,2,2,0.2
analcatdata_bankruptcy,0.600000,0.000000,0.000000,0.000000,0.875000,1,16,2,4,0.1
analcatdata_bankruptcy,0.600000,0.000000,0.000000,0.000000,0.666667,1,16,2,4,0.2
analcatdata_bankruptcy,0.600000,0.000000,0.000000,0.000000,0.625000,1,16,4,2,0.1
analcatdata_bankruptcy,0.500000,0.428571,0.750000,0.545455,0.666667,1,16,4,2,0.2
analcatdata_bankruptcy,0.700000,1.000000,0.250000,0.400000,0.750000,1,16,4,4,0.1
analcatdata_bankruptcy,0.400000,0.400000,1.000000,0.571429,0.333333,1,16,4,4,0.2
analcatdata_bankruptcy,0.400000,0.400000,1.000000,0.571429,0.625000,1,32,2,2,0.1
analcatdata_bankruptcy,0.600000,0.000000,0.000000,0.000000,0.583333,1,32,2,2,0.2
analcatdata_bankruptcy,0.400000,0.400000,1.000000,0.571429,0.458333,1,32,2,4,0.1
analcatdata_bankruptcy,0.600000,0.500000,0.750000,0.600000,0.500000,1,32,2,4,0.2
analcatdata_bankruptcy,0.400000,0.400000,1.000000,0.571429,0.416667,1,32,4,2,0.1
analcatdata_bankruptcy,0.400000,0.400000,1.000000,0.571429,0.458333,1,32,4,2,0.2
analcatdata_bankruptcy,0.400000,0.400000,1.000000,0.571429,0.250000,1,32,4,4,0.1
analcatdata_bankruptcy,0.600000,0.500000,1.000000,0.666667,0.583333,1,32,4,4,0.2
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.777778,1,16,2,2,0.1
analcatdata_creditscore,0.550000,1.000000,0.181818,0.307692,0.626263,1,16,2,2,0.2
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.747475,1,16,2,4,0.1
analcatdata_creditscore,0.400000,0.400000,0.181818,0.250000,0.464646,1,16,2,4,0.2
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.686869,1,16,4,2,0.1
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.757576,1,16,4,2,0.2
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.636364,1,16,4,4,0.1
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.828283,1,16,4,4,0.2
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.414141,1,32,2,2,0.1
analcatdata_creditscore,0.500000,0.526316,0.909091,0.666667,0.565657,1,32,2,2,0.2
analcatdata_creditscore,0.550000,0.562500,0.818182,0.666667,0.424242,1,32,2,4,0.1
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.737374,1,32,2,4,0.2
analcatdata_creditscore,0.450000,0.000000,0.000000,0.000000,0.595960,1,32,4,2,0.1
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.222222,1,32,4,2,0.2
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,0.404040,1,32,4,4,0.1
analcatdata_creditscore,0.600000,0.578947,1.000000,0.733333,0.747475,1,32,4,4,0.2
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.843750,1,16,2,2,0.1
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.895833,1,16,2,2,0.2
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.479167,1,16,2,4,0.1
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.781250,1,16,2,4,0.2
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.708333,1,16,4,2,0.1
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.739583,1,16,4,2,0.2
analcatdata_cyyoung8092,0.650000,0.538462,0.875000,0.666667,0.708333,1,16,4,4,0.1
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.604167,1,16,4,4,0.2
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.562500,1,32,2,2,0.1
analcatdata_cyyoung8092,0.550000,0.000000,0.000000,0.000000,0.312500,1,32,2,2,0.2
analcatdata_cyyoung8092,0.400000,0.400000,1.000000,0.571429,0.885417,1,32,2,4,0.1
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.739583,1,32,2,4,0.2
analcatdata_cyyoung8092,0.550000,0.000000,0.000000,0.000000,0.000000,1,32,4,2,0.1
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.770833,1,32,4,2,0.2
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.770833,1,32,4,4,0.1
analcatdata_cyyoung8092,0.600000,0.500000,0.500000,0.500000,0.520833,1,32,4,4,0.2
analcatdata_cyyoung9302,0.894737,0.500000,0.500000,0.500000,0.735294,1,16,2,2,0.1
analcatdata_cyyoung9302,0.894737,0.500000,0.500000,0.500000,0.852941,1,16,2,2,0.2
analcatdata_cyyoung9302,0.736842,0.200000,0.500000,0.285714,0.588235,1,16,2,4,0.1
analcatdata_cyyoung9302,0.736842,0.200000,0.500000,0.285714,0.705882,1,16,2,4,0.2
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.882353,1,16,4,2,0.1
analcatdata_cyyoung9302,0.842105,0.000000,0.000000,0.000000,0.852941,1,16,4,2,0.2
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.852941,1,16,4,4,0.1
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.705882,1,16,4,4,0.2
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.823529,1,32,2,2,0.1
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.794118,1,32,2,2,0.2
analcatdata_cyyoung9302,0.736842,0.200000,0.500000,0.285714,0.794118,1,32,2,4,0.1
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.852941,1,32,2,4,0.2
analcatdata_cyyoung9302,0.894737,0.500000,0.500000,0.500000,0.882353,1,32,4,2,0.1
analcatdata_cyyoung9302,0.736842,0.285714,1.000000,0.444444,0.764706,1,32,4,2,0.2
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.676471,1,32,4,4,0.1
analcatdata_cyyoung9302,0.631579,0.222222,1.000000,0.363636,0.852941,1,32,4,4,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.600000,1,16,2,2,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.650000,1,16,2,2,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.600000,1,16,2,4,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.400000,1,16,2,4,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.200000,1,16,4,2,0.1
analcatdata_fraud,0.444444,0.444444,1.000000,0.615385,0.300000,1,16,4,2,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.100000,1,16,4,4,0.1
analcatdata_fraud,0.666667,0.666667,0.500000,0.571429,0.500000,1,16,4,4,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.650000,1,32,2,2,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.550000,1,32,2,2,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.250000,1,32,2,4,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.650000,1,32,2,4,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.450000,1,32,4,2,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.350000,1,32,4,2,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.450000,1,32,4,4,0.1
analcatdata_fraud,0.444444,0.000000,0.000000,0.000000,0.300000,1,32,4,4,0.2
analcatdata_japansolvent,0.636364,0.800000,0.571429,0.666667,0.714286,1,16,2,2,0.1
analcatdata_japansolvent,0.727273,0.700000,1.000000,0.823529,0.678571,1,16,2,2,0.2
analcatdata_japansolvent,0.727273,0.833333,0.714286,0.769231,0.785714,1,16,2,4,0.1
analcatdata_japansolvent,0.636364,0.636364,1.000000,0.777778,0.714286,1,16,2,4,0.2
analcatdata_japansolvent,0.818182,0.777778,1.000000,0.875000,0.750000,1,16,4,2,0.1
analcatdata_japansolvent,0.545455,1.000000,0.285714,0.444444,0.714286,1,16,4,2,0.2
analcatdata_japansolvent,0.454545,1.000000,0.142857,0.250000,0.714286,1,16,4,4,0.1
analcatdata_japansolvent,0.636364,0.666667,0.857143,0.750000,0.785714,1,16,4,4,0.2
analcatdata_japansolvent,0.636364,0.636364,1.000000,0.777778,0.714286,1,32,2,2,0.1
analcatdata_japansolvent,0.363636,0.000000,0.000000,0.000000,0.571429,1,32,2,2,0.2
analcatdata_japansolvent,0.363636,0.000000,0.000000,0.000000,0.607143,1,32,2,4,0.1
analcatdata_japansolvent,0.636364,0.636364,1.000000,0.777778,0.714286,1,32,2,4,0.2
analcatdata_japansolvent,0.363636,0.000000,0.000000,0.000000,0.607143,1,32,4,2,0.1
analcatdata_japansolvent,0.545455,1.000000,0.285714,0.444444,0.678571,1,32,4,2,0.2
analcatdata_japansolvent,0.636364,0.714286,0.714286,0.714286,0.678571,1,32,4,4,0.1
analcatdata_japansolvent,0.636364,0.636364,1.000000,0.777778,0.607143,1,32,4,4,0.2
labor,0.750000,0.700000,1.000000,0.823529,1.000000,1,16,2,2,0.1
labor,0.583333,0.583333,1.000000,0.736842,0.942857,1,16,2,2,0.2
labor,0.583333,0.583333,1.000000,0.736842,1.000000,1,16,2,4,0.1
labor,0.583333,0.583333,1.000000,0.736842,0.885714,1,16,2,4,0.2
labor,0.583333,0.583333,1.000000,0.736842,0.742857,1,16,4,2,0.1
labor,0.583333,0.750000,0.428571,0.545455,0.742857,1,16,4,2,0.2
labor,0.750000,0.700000,1.000000,0.823529,0.942857,1,16,4,4,0.1
